date,so2_max_du,so2_mean_du,so2_15_du
2022-10-08,0.638879,0.00412057,0.0673387
2022-10-10,-0.16028,-0.16028,0.0393385
2022-10-11,2.18963,1.20209,0.0921325
2022-10-12,5.23094,0.519745,0.274851
2022-10-13,1.23468,0.139518,0.0557825
2022-10-15,1.15758,0.246061,0.0568384
2022-10-16,4.90634,1.06291,0.45503
2022-10-17,3.51542,0.656737,0.207563
2022-10-19,1.16724,0.862639,0.0278353
2022-10-20,0.579531,0.0112327,0.0242884
2022-10-22,2.66217,0.205998,0.143106
2022-10-23,2.33119,0.198162,0.13044
2022-10-24,1.73306,1.23354,0.107008
2022-10-26,2.66738,1.11597,0.135488
2022-10-27,2.68354,0.185511,0.0809871
2022-10-28,3.12616,0.649637,0.182504
2022-10-29,2.32929,0.553568,0.15389
2022-10-30,3.20728,0.558562,0.0137539
2022-10-31,2.22071,0.189345,0.0221553
2022-11-01,3.93794,0.411784,0.144936
2022-11-02,3.84566,0.679135,0.272898
2022-11-03,8.09197,1.79336,0.54875
2022-11-04,1.86948,0.368839,0.135769
2022-11-06,4.19557,0.465682,0.167269
2022-11-07,14.7204,2.52974,0.648275
2022-11-10,3.249,0.626015,0.0837873
2022-11-14,3.05463,1.53651,0.484203
2022-11-15,1.66408,0.614391,0.0910709
2022-11-16,2.81221,0.257746,0.132784
2022-11-18,1.6639,0.310879,0.0989962
2022-11-19,0.844784,0.0593624,0.0770024
2022-11-20,2.21395,0.173448,0.073033
2022-11-21,1.50924,0.216633,0.0843793
2022-11-22,0.945,0.036988,0.048929
2022-11-23,1.47669,-0.00285542,0.040598
2022-11-24,0.478569,-0.00882237,0.0863436
2022-11-25,2.10442,0.859177,0.153225
2022-11-26,1.38851,-0.0251981,0.0733953
2022-11-27,3.06434,0.206651,0.0725022
2022-11-28,7.43956,0.946351,0.30556
2022-11-29,2.82214,0.48951,0.20588
2022-11-30,1.94259,0.417567,0.020307
2022-12-01,1.72453,0.297331,0.0783607
2022-12-02,1.2443,0.0909452,0.0297812
2022-12-03,-0.177063,-0.177063,0.0476636
2022-12-04,1.07137,-0.0124754,0.0442362
2022-12-05,1.45968,0.33128,0.0894475
2022-12-07,4.19668,1.58236,0.0983969
2022-12-08,0.562728,-0.0142412,0.0304824
2022-12-10,1.16103,0.144598,0.0688958
2022-12-14,0.848526,0.0020657,0.000809848
2022-12-15,0.885703,0.164837,0.0879291
2022-12-16,1.08667,0.269371,0.0821894
2022-12-17,3.81205,0.837452,0.15907
2022-12-18,1.44999,0.317764,0.102884
2022-12-19,1.60309,0.0513346,0.0222093
2022-12-20,1.65121,0.17534,0.045749
2022-12-21,0.282374,0.211466,0.0553086
2022-12-24,0.935197,0.286276,0.0903178
2022-12-29,-0.335206,-0.713116,0.0537245
2022-12-30,0.957933,0.380392,0.0402757
2023-01-02,1.85902,-0.13221,0.0340392
2023-01-04,1.33587,0.199333,0.109648
2023-01-05,1.17017,0.113224,0.0761564
2023-01-06,0.615023,0.0885047,0.0333773
2023-01-07,0.661984,0.155799,0.0743732
2023-01-08,0.28025,0.0605627,-0.0158173
2023-01-09,0.981797,-0.0155142,-0.0063912
2023-01-10,2.81567,-0.0703366,0.01893
2023-01-11,2.27092,0.043897,0.0487055
2023-01-12,1.50459,0.382025,0.16829
2023-01-13,2.88936,0.595219,0.103401
2023-01-14,1.73475,0.0945899,0.0357898
2023-01-15,1.79803,0.0456601,0.0194309
2023-01-16,0.509905,0.0623576,0.0264075
2023-01-19,1.94424,1.34985,0.193079
2023-01-20,1.81401,0.0936734,0.0740518
2023-01-21,3.40341,0.313723,0.115505
2023-01-22,1.93313,0.433654,0.096478
2023-01-23,0.460139,-0.343934,-0.0393761
2023-01-24,0.587566,-0.0130025,-0.01936
2023-01-26,2.01728,0.361362,0.123954
2023-01-27,0.710302,0.0141292,0.101038
2023-01-30,7.07929,0.784298,0.181094
2023-02-02,0.602731,-0.0855271,0.148643
2023-02-03,4.0656,1.78325,0.106438
2023-02-05,0.644142,-0.218193,-0.0847007
2023-02-06,2.06524,0.141433,0.0835995
2023-02-07,1.00673,0.0841496,0.0951872
